2025-11-26 20:47:32 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":1},"duration":0.45058155059814453,"end_time":1764172052.4767253}
2025-11-26 20:47:32 | INFO | logger | ERROR | REPORT module failed | Data: {"exit_code":1,"args":["--generate-report","docx","-o","comprehensive_scan_20251126_204722\\comprehensive_report.docx"]}
2025-11-26 20:47:32 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":0,"completed":true},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":9.818414449691772,"end_time":1764172052.5082166}
2025-11-26 20:50:24 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_205024"},"start_time":1764172224.4770994}
2025-11-26 20:50:24 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_205024\\port_scan_results.json","--format","json"]},"start_time":1764172224.4906778}
2025-11-26 20:50:28 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":3.9343862533569336,"end_time":1764172228.4393284}
2025-11-26 20:50:28 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_205024\\stress_test_results.json"]},"start_time":1764172228.4576237}
2025-11-26 20:50:50 | INFO | logger | TEST_END | Completed STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","results":{"exit_code":1},"duration":22.277710437774658,"end_time":1764172250.7504563}
2025-11-26 20:50:50 | INFO | logger | ERROR | STRESS module failed | Data: {"exit_code":1,"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_205024\\stress_test_results.json"]}
2025-11-26 20:50:50 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_205024\\comprehensive_report.txt"]},"start_time":1764172250.784053}
2025-11-26 20:50:51 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":1},"duration":0.6594386100769043,"end_time":1764172251.45834}
2025-11-26 20:50:51 | INFO | logger | ERROR | REPORT module failed | Data: {"exit_code":1,"args":["--generate-report","txt","-o","comprehensive_scan_20251126_205024\\comprehensive_report.txt"]}
2025-11-26 20:50:51 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":0,"completed":true},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":26.99696946144104,"end_time":1764172251.4871385}
2025-11-26 20:51:39 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt"]},"start_time":1764172299.5626976}
2025-11-26 20:51:40 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":0},"duration":0.5993413925170898,"end_time":1764172300.1787279}
2025-11-26 20:53:18 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_205318"},"start_time":1764172398.933133}
2025-11-26 20:53:18 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_205318\\port_scan_results.json","--format","json"]},"start_time":1764172398.947275}
